Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Территория объекта «Строительство и реконструкция участков автомобильной дороги А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга. Строительство направленных съездов на транспортной развязке КАД и Приозерского шоссе, Ленинградская обл., г. Санкт-Петербург»",Выборгский,2756-р,2020-09-03,"199,9",21149EEC-4647-4A53-8D49-2377ED7E29FD
4 этап (утверждение документации ППТ),"Территория для размещения линейных объектов регионального значения «Проектируемая улица №3 от пр.Буденного до проектируемой улицы №1», «Проектируемая улица №1 от проектируемой улицы №3 до проектируемой улицы №2», «Проектируемая улица №2 от проектируемой улицы №1 до ул.Генерала Кравченко»",Красносельский,24,2022-01-19,"7,3",3E8AEC3D-FD6C-4A07-B61A-237B529ED991
4 этап (утверждение документации ППТ),"Территория, ограниченная дорогой на Турухтанные острова, Портовой ул., пр. Маршала Жукова, дорогой в Угольную гавань, проектной магистралью, проездом",Кировский,1067,2017-12-19,32,438FA6B4-5B63-4048-A0F0-241044FB4F25
4 этап (утверждение документации ППТ),"Территория, ограниченная Аптекарским пр, Аптекарской наб., ул. Профессора Попова,. Инструментальной ул.",Петроградский,1130,2014-12-16,"8,3",68A140EC-7874-4105-9BC4-2416539ABC1A
4 этап (утверждение документации ППТ),"Территория квартала № 6 производственной зоны «Металлострой», ограниченной дор. В Металлострой, красными линиями перспективных магистралей, юго-восточной границей ЗУ 78:37:17412:22, юго-восточной границей ЗУ, в Колпинском районе Санкт-Петербурга",Колпинский,1375,2009-11-25,"159,1",B6F67401-EB08-4B82-BF1F-245B0478F796
4 этап (утверждение документации ППТ),"Квартал 52 Северо-Приморской части, ограниченный Камышовой ул., Яхтенной ул., Богатырскимпр. И Туристской ул.",Приморский,215,2008-02-26,"27,4",8AAD70D5-B97F-4895-94F9-24F0C73E0415
4 этап (утверждение документации ППТ),"Территория, ограниченная Старорусской ул., 8-ой Советской ул., Кирилловской ул.",Центральный,852,2012-08-15,"1,6",F8B663EC-CCD3-47DE-9C01-251633C0469A
4 этап (утверждение документации ППТ),"Квартал 55 Северо-Приморской части, ограниченный Туристской ул., Богатырским пр., Яхтенной ул. И ул. Оптиков",Приморский,1319,2007-10-09,"44,2",AA69CD0D-9D22-4B74-8578-2564163BFBD6
4 этап (утверждение документации ППТ),Квартал 18 Приморской Юго-западной части (ЮЗПЧ),Красносельский,1900,2005-12-13,"22,3",82C5C4B8-75D1-4EE8-B54F-25E82C735FFD
4 этап (утверждение документации ППТ),"Территория, ограниченная Удельным пр., Кубанской ул., Костромским пр.",Выборгский,65,2014-02-07,"1,5",39A9BA5A-B72D-422B-A28E-2619B6B22647
4 этап (утверждение документации ППТ),"Территория, ограниченная Варшавской ул., полосой отвода железной дороги, Московский пр., межквартальным проездом",Московский,853,2012-08-15,"22,7",57064569-7299-4FE9-A1A0-26A971013D89
4 этап (утверждение документации ППТ),"Линейные объекты регионального значения «Трамвайная сеть по маршруту «станция метро »Купчино» - пос. Шушары - Славянка«, автомобильные дороги регионального значения Балканская пл., Балканская ул. На участке от ул. Ярослава Гашека в юго-восточном направлении до планируемого внутриквартального проезда, проектируемая ул. От Балканской ул. До границы полосы отвода железной дороги, Чудовская ул. От Новгородского пр. До Старорусского пр., Школьная ул. От Новгородского пр. До Старорусского пр., Вилеровский пер. От Новгородского пр. До Старорусского пр., Старорусский пр. От Чудовской ул. До Новгородского пр., Новгородский пр. От Чудовской ул. До Шушарской дор., шоссе Подбельского от Южной широтной магистрали до Торопецкой ул., Торопецкая ул. От шоссе Подбельского до Северской ул., Северская ул. От Торопецкой ул. До Колпинского шоссе, перспективная магистраль в створе Северской ул. От Колпинского шоссе до южной границы функциональной зоны «Д»",Пушкинский,93,2022-02-09,"324,3",9C71B662-C994-49EC-998A-26CD92341301
