Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Изменения в проект планировки и межевания территории квартала 24-27 района Полюстрово, в Калининском районе, утвержденного постановлением Правительства Санкт-Петербурга от 25.12.2007 № 1713",Калининский,215,2015-02-24,"62,5",7C752D5F-BFEA-4FA9-A488-19FB69E72F5C
4 этап (утверждение документации ППТ),"Территория кварталов128,128А, 136 района Щемиловки, ограниченная пр. Обуховской Обороны, ул. Бабушкина, пр. Александровской Фермы, ул. Шелгунова",Невский,1008,2011-07-13,"56,3",F7330259-B6C7-4FBE-9666-1A41BE848978
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Красносельско-Калининская линия метрополитена от станции »Казаковская« до станции »Сосновая Поляна«,Красносельский,94,2022-02-09,"72,4",69F8A9D2-C202-4E1C-B925-1ADC56F574A3
4 этап (утверждение документации ППТ),Территория Приморской Юго-западной части (ЮЗПЧ) (западнее Дудергофского канала),Красносельский,558,2005-04-26,"200,6",D9420F7D-984F-41EF-A367-1B0A435D1AEF
4 этап (утверждение документации ППТ),"Территория, ограниченная Кушелевской дорогой, пр. Непокоренных, продолжением ул. Бутлерова, полосой отвода железной дороги",Калининский,1316,2012-12-11,"23,2",3FCD5674-D457-48B3-A337-1B0E859732D5
4 этап (утверждение документации ППТ),"Территория, ограниченная Елисеевской ул., Малой Десятинной ул., Афанасьевской ул., проектируемой улицей",Приморский,204,2014-03-25,"20,65",7CB6E14B-BBB0-4E71-814B-1B5FBFA8DD53
4 этап (утверждение документации ППТ),"Квартал 1054, ограниченный ул. Рубинштейна, Щербаковым пер. И Загородным пр.",Центральный,1502,2007-11-20,"2,1",F81CC5E4-C610-4B53-B3CD-1BD0B9B54EBD
4 этап (утверждение документации ППТ),"Квартал 10А, н/з «Парнас», огр. Транспортной развязкой КАД и Приозерским шоссе, 9-м Верхним пер. И пр. Энгельса",Выборгский,331,2007-03-28,"15,1",FA98242E-978D-4877-BED9-1BE74638BB53
4 этап (утверждение документации ППТ),"Территория, ограниченная Новгородской ул., ул.Моисеенко и Дегтярным пер. (НЕВСКАЯ РАТУША)",Центральный,71,2009-01-20,"10,9",BBC983B6-ACB7-4D69-8A81-1BFC53B89B49
4 этап (утверждение документации ППТ),"Терр. Квартала 7 Восточнее проспекта Юрия Гагарина, ограниченной ул.Типанова, пр Космонавтов, ул.Орджоникидзе, пр. Юрия Гагарина, в Московском районе",Московский,881,2015-10-06,"97,4",D9A12271-2FA7-4E3D-886E-1C75FE915AE9
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта: «Строительство Шуваловского пр. От Камышовой ул. До Планерной ул»,Приморский,459,2019-07-16,"37,5",5F966059-1619-4267-BF92-1CDB1A90E360
4 этап (утверждение документации ППТ),"Территория, ограниченная Байконурской ул., Богатырским пр., пр. Сизова, Туполевской ул., в Приморском районе",Приморский,205,2014-03-25,"8,49",2DC79F0E-2B30-497F-BADC-1D2AE26D7D58
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Плеханова, ул. Тургенева, Санкт-Петербургским ш., Кропоткинской ул.",Петродворцовый,621,2010-05-17,2,366B9F5F-4F0E-454F-8A77-1D3759038D49
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Строительство автомобильной дороги от кольцевой автомобильной дороги вокруг Санкт-Петербурга до автомобильной дороги »Санкт-Петербург - Матокса« на участке от границы Санкт-Петербурга до автомобильной дороги »Санкт-Петербург - Матокса«,Красногвардейский,453-р,2022-07-07,"1,2",B69B94EA-18D3-416E-8831-1D3FCE354663
4 этап (утверждение документации ППТ),"Пос. Комарово, территория, ограниченная Кавалерийской ул., Большим пр., Горной ул. И ул. Лейтенантов",Курортный,36,2008-01-15,"5,4",9C0762B5-91C6-4A75-9AA3-1D73B07D2EA7
4 этап (утверждение документации ППТ),"Квартал 1 района Шувалово-Озерки, ограниченный Суздальским пр., ул. Композиторов, ул. Прокофьева и ул. Жени Егоровой",Выборгский,1110,2007-09-04,"7,1",CB727B27-B22F-46D7-A34A-1DBDA5E6C817
4 этап (утверждение документации ППТ),"Квартал 54 Северо-Приморской части (СПЧ), ограниченной Богатырским пр., Елагинским пр., Ситцевой ул., Яхтенной ул.",Приморский,375,2010-04-15,"21,9",2312CA41-7FC5-41F0-B5AD-1E51E9E00C45
4 этап (утверждение документации ППТ),Территория квартала 8 производственной зоны «Металлострой» а пос. Металоострой,Колпинский,1376,2009-11-25,"50,5",5F742EA1-CFCA-406C-920F-1E9817957DAE
4 этап (утверждение документации ППТ),"Квартал 26, ограниченного Пискаревским пр., Львовской ул., Апрельской ул. И пр. Металлистов",Красногвардейский,293,2008-03-18,"34,9",DB70D2A6-59A2-41DF-9121-1EDACB42CDCB
4 этап (утверждение документации ППТ),"Территория кварталов 7,8 и 9 района Автово, ограниченная Автоводской ул., ул. Примакова, ул. Червонного Казачества и проездом вдоль сквера по пр. Стачек",Кировский,985,2011-07-13,"33,5",8EA6B9F2-533C-471F-A5E0-1EE98DCBD0A5
4 этап (утверждение документации ППТ),"Территория, ограниченная Большим Смоленским пр., ул Бабушкина, ул. Ольминского, ул.Пинегина",Невский,690,2014-07-30,"7,3",BC2E8305-93AC-4DD5-A626-1F5F92C2C74B
4 этап (утверждение документации ППТ),"Территория, ограниченная Гатчинским ш., Красногородской ул., проектируемой магистралью,",Красносельский,1129,2014-12-16,"42,7",B634FA3C-61BA-4024-931D-1F7C591366A9
4 этап (утверждение документации ППТ),"Территория, ограниченная Камышовой ул., Туристской ул., Богатырским пр., Шуваловским пр.",Приморский,1688,2011-12-13,"20,7",81A5A8D0-4033-4FA6-8A80-1FEC0774FC54
4 этап (утверждение документации ППТ),"Территория зоны влияния аэропорта «Пулково», ограниченная с северо-запада границей нежилой зоны «Предпортовая - 3», с северо-востока границей нежилой зоны «Предпортовая - 2», с востока Пулковским шоссе, с юга границей отвода аэропорта, утвержденная постановлением Правительства СПб от 15.04.2010 № 376, в части территории квартала 6, ограниченной ул. Владимира Мацкевича, ул. Пилотов, Домодедовской ул., проектируемой улицей, в Московском районе",Московский,586,2019-09-02,"3,3",5CFFD364-DC71-4CF7-B870-1FF940107971
4 этап (утверждение документации ППТ),"Территория юго-восточной части квартала 19-Б нежилой зоны «Ржевка», ограниченная проездом между д.83 и д.85 по ш. Революции, ш. Революции, проездом у д.73 лит.А по ш. Революции и перспективным продолжением ул. Красина",Красногвардейский,406,2007-04-10,"3,8",E828745B-6175-4043-BCC6-20AD13C073D9
4 этап (утверждение документации ППТ),"Территория, ограниченная Тбилисской ул., Солунской ул., проектируемой улицей, Коломяжским пр., проектируемым проездом, границей территории объекта культурного наследия регионального назначения Удельный парк, ул. Аккуратова",Приморский,1285,2010-09-23,"20,9",D1D5C731-2197-4866-AB82-20D35455A964
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Энгельса, Суздальским пр., пр. Художников, Придорожной аллеей",Выборгский,1496,2008-11-25,11,AB3978F9-9F11-4CD5-A54E-218315A3F112
4 этап (утверждение документации ППТ),"Территория для по размещения линейного объекта: «Широтная магистраль скоростного движения с мостом через р. Неву в створе ул. Фаянсовая – ул. Зольная. Этап 1. Участок от примыкания к Западному скоростному диаметру до пересечения с Витебским пр., включая транспортный узел на Витебском пр»",Московский,254,2019-04-25,"105,4",531EB1B5-27AB-4151-A11C-21E948EF8750
